,id,num_sess,datetime,product_viewed_browse,cart_started,basket_paid_browsing,product_save,product_price,product_time_left,Post_Code,cart_startTime,product_viewed_cart,total,basket_paid_cart,cart_firstTime,basketInfoTime,product_id_ProductViewed,product_id_CartStarted,last_cart_started
0,1,1,2017-05-19 08:02:53.000,,2017-05-19 08:02:51.292,,,,,,2017-05-19 08:02:51,,,False,2017-05-19 08:02:53+00:00,1495182843,,3838997.0,2017-05-19 08:02:53.000
1,1,2,2017-05-19 13:51:59.000,,2017-05-19 08:02:51.292,,,,,,2017-05-19 08:02:51,,,False,2017-05-19 13:51:59+00:00,1495203782,,3838997.0,2017-05-19 13:51:59.000
2,1,3,2017-06-02 21:40:06.000,,2017-06-02 21:40:06.147,,75%,9.0,03:01:20:04,,2017-06-02 21:40:06,,9.0,False,2017-06-02 21:40:06+00:00,1496441524,,4096138.0,2017-06-02 21:40:06.000
3,1,4,2017-06-09 14:23:10.000,,2017-06-09 14:23:10.017,,75%,9.0,00:08:36:54,,2017-06-09 14:23:10,,9.0,False,2017-06-09 14:23:10+00:00,1497020106,,4096138.0,2017-06-09 14:23:10.000
4,2,1,2017-05-26 13:25:27.000,2017-05-26 13:25:20.268,,,26%,69.0,06:09:34:40,,2017-05-26 13:25:20,,69.0,False,2017-05-26 13:25:27+00:00,1495807024,4009686.0,,
5,2,1,2017-05-26 13:25:27.000,,2017-05-26 13:25:20.891,,26%,69.0,06:09:34:40,,2017-05-26 13:25:20,,69.0,False,2017-05-26 13:25:27+00:00,1495807024,,4009686.0,2017-05-26 13:25:27.000
6,2,2,2017-06-09 13:20:22.000,2017-06-09 13:20:30.130,,,27%,229.0,04:09:39:29,,2017-06-09 13:20:30,,229.0,False,2017-06-09 13:20:23+00:00,1497016328,4085525.0,,
7,2,2,2017-06-09 13:20:23.000,,2017-06-09 13:20:30.749,,27%,229.0,04:09:39:29,,2017-06-09 13:20:30,,229.0,False,2017-06-09 13:20:23+00:00,1497016328,,4085525.0,2017-06-09 13:20:23.000
8,2,3,2017-06-12 08:32:26.000,2017-06-12 08:32:43.033,,,64%,9.0,03:14:27:15,,2017-06-12 08:32:44,,9.0,False,2017-06-12 08:32:26+00:00,1497258247,4212459.0,,
1469154,52433,1,2017-05-24 18:48:37.000,,2017-05-24 18:48:36.464,,48%,509.0,02:04:20:57,Rm17 6ax,2017-05-24 18:43:00,,509.0,False,2017-05-24 18:43:00+00:00,1495653603,,3949698.0,2017-05-24 18:48:37.000
1469155,52433,2,2017-06-12 14:03:52.000,,2017-06-12 14:03:52.170,,48%,509.0,01:08:56:14,,2017-06-12 14:03:52,,509.0,False,2017-06-12 14:03:52+00:00,1497278104,,4211595.0,2017-06-12 14:03:52.000
1469156,52433,3,2017-06-12 14:03:52.000,,2017-06-12 14:03:52.155,,48%,509.0,01:08:56:14,,2017-06-12 14:03:52,,509.0,False,2017-06-12 14:03:14+00:00,1497278104,,4211595.0,2017-06-12 14:03:52.000
1469157,52433,4,2017-06-12 14:15:41.000,,,,20%,369.0,08:08:31:55,,2017-06-12 14:16:23,1497276973316.0,369.0,False,2017-06-12 14:15:54+00:00,1497279605,,,
1469158,52433,4,2017-06-12 14:16:01.000,,,,20%,369.0,08:08:31:55,,2017-06-12 14:16:23,1497276973316.0,369.0,False,2017-06-12 14:15:54+00:00,1497279605,,,
